Timestamp,Flux
-1.0,-50.2
-1.04,-51.96
-1.11,-55.54
-1.11,-55.3
-1.11,-55.26
-1.06,-53.09
-1.18,-58.95
-1.18,-58.95
-1.18,-58.95
-1.18,-59.22
-1.18,-59.05
-1.1,-55.23
-1.0,-49.75
-1.0,-50.24
-1.02,-50.82
-1.01,-50.41
-0.96,-47.93
-0.89,-44.35
-0.89,-44.45
-0.91,-45.69
-0.91,-45.69
-0.9,-45.0
-0.9,-45.0
-0.97,-48.44
-0.88,-43.8
-0.87,-43.52
-0.87,-43.52
-0.99,-49.41
-0.99,-49.44
-0.95,-47.55
-0.97,-48.51
-0.98,-48.79
-1.05,-52.54
-0.98,-48.75
-0.99,-49.48
-1.04,-52.16
-1.04,-52.16
-1.04,-52.16
-1.05,-52.75
-1.13,-56.74
-1.06,-52.96
-1.13,-56.5
-1.01,-50.61
-1.01,-50.51
-1.01,-50.55
-1.0,-49.93
-0.9,-45.21
-0.9,-44.93
-0.9,-44.93
-0.78,-39.22
-0.66,-33.12
-0.65,-32.33
-0.65,-32.33
-0.64,-32.19
-0.68,-33.81
-0.76,-38.22
-0.77,-38.32
-0.85,-42.73
-0.85,-42.31
-0.83,-41.38
-0.74,-37.08
-0.87,-43.35
-0.88,-43.83
-0.99,-49.34
-1.09,-54.57
-1.2,-59.77
-1.19,-59.33
-1.26,-62.81
-1.18,-58.91
-1.15,-57.5
-1.06,-53.09
-1.14,-57.23
-1.14,-57.16
-1.17,-58.4
-1.18,-59.22
-1.18,-59.22
-1.15,-57.36
-1.07,-53.4
-1.05,-52.41
-1.04,-52.16
-1.03,-51.58
-1.04,-51.79
-1.06,-53.09
-1.14,-56.95
-1.15,-57.54
-1.15,-57.54
-1.08,-54.13
-1.07,-53.47
-1.06,-53.09
-0.97,-48.72
-1.05,-52.54
-1.03,-51.65
-1.14,-56.81
-1.05,-52.3
-1.07,-53.3
-0.97,-48.69
-1.01,-50.51
-0.91,-45.72
-0.84,-41.87
-0.81,-40.59
-0.89,-44.42
-0.8,-40.04
-0.73,-36.36
-0.7,-35.22
-0.78,-38.91
-0.77,-38.73
-0.82,-41.08
-0.72,-35.91
-0.8,-40.15
-0.76,-37.94
-0.85,-42.38
-0.73,-36.43
-0.73,-36.43
-0.81,-40.52
-0.74,-37.01
-0.66,-33.19
-0.66,-33.19
-0.66,-33.19
-0.59,-29.71
-0.52,-26.03
-0.45,-22.38
-0.33,-16.52
-0.33,-16.52
-0.36,-17.79
-0.28,-14.01
-0.19,-9.56
-0.31,-15.45
-0.31,-15.45
-0.23,-11.35
-0.23,-11.35
-0.23,-11.35
-0.23,-11.35
-0.31,-15.42
-0.41,-20.31
-0.63,-31.36
-0.84,-41.76
-0.96,-47.76
-0.96,-47.76
-0.74,-37.18
-0.74,-37.18
-0.74,-37.18
-0.63,-31.29
-0.73,-36.56
-0.92,-46.03
-1.01,-50.48
-1.01,-50.48
-1.01,-50.48
-0.93,-46.41
-0.68,-33.81
-0.39,-19.38
-0.25,-12.42
-0.21,-10.29
-0.29,-14.35
-0.55,-27.4
-0.63,-31.5
-0.63,-31.5
-0.63,-31.5
-0.36,-18.14
-0.1,-5.02
-0.01,-0.58
-0.01,-0.58
-0.17,-8.39
-0.28,-13.9
-0.57,-28.4
-0.74,-37.22
-0.68,-33.77
-0.6,-29.92
-0.52,-25.85
-0.36,-17.86
-0.19,-9.46
-0.19,-9.46
-0.31,-15.73
-0.66,-33.08
-0.84,-41.97
-0.84,-41.97
-0.84,-41.97
-0.68,-34.15
-0.57,-28.64
-0.44,-21.86
-0.33,-16.42
-0.33,-16.42
-0.42,-20.89
-0.54,-27.16
-0.61,-30.57
-0.7,-34.88
-0.63,-31.5
-0.39,-19.59
-0.21,-10.32
-0.0,-0.2
-0.0,-0.2
-0.1,-4.88
-0.3,-15.11
-0.45,-22.55
-0.45,-22.55
-0.45,-22.55
-0.45,-22.55
-0.36,-18.07
-0.24,-11.8
-0.17,-8.39
-0.25,-12.25
-0.46,-23.0
-0.71,-35.29
-0.83,-41.32
-0.92,-46.21
-0.92,-46.21
-0.76,-38.08
-0.47,-23.55
-0.32,-16.11
-0.39,-19.62
-0.49,-24.61
-0.62,-31.16
-0.74,-37.08
-0.74,-37.08
-0.74,-37.08
-0.58,-28.92
-0.32,-16.0
-0.19,-9.36
-0.07,-3.33
-0.17,-8.29
-0.33,-16.52
-0.56,-28.06
-0.75,-37.73
-0.75,-37.73
-0.68,-34.22
-0.51,-25.3
-0.26,-13.01
-0.21,-10.73
-0.29,-14.32
-0.42,-21.03
-0.67,-33.57
-0.88,-44.17
-0.96,-48.13
-0.96,-48.13
-0.86,-43.18
-0.7,-34.94
-0.54,-26.85
-0.43,-21.48
-0.43,-21.48
-0.56,-27.82
-0.76,-38.22
-0.98,-48.86
-0.9,-45.21
-0.83,-41.63
-0.7,-34.91
-0.53,-26.68
-0.43,-21.62
-0.35,-17.66
-0.46,-23.24
-0.57,-28.47
-0.65,-32.71
-0.74,-37.18
-0.63,-31.54
-0.56,-28.06
-0.43,-21.72
-0.3,-15.25
-0.27,-13.7
-0.37,-18.52
-0.57,-28.61
-0.69,-34.7
-0.69,-34.7
-0.69,-34.7
-0.69,-34.7
-0.5,-24.92
-0.3,-15.14
-0.22,-10.91
-0.13,-6.43
-0.32,-15.94
-0.39,-19.41
-0.56,-27.89
-0.65,-32.6
-0.74,-37.15
-0.65,-32.33
-0.36,-17.97
-0.24,-11.87
-0.24,-11.87
-0.35,-17.49
-0.35,-17.49
